Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1634768947
Base Time Fractional,.700540800
Base Time,10/20/2021 22:29:07.700540800
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-4.454928925757e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0014218427241,Volt DC,100,T,2W,F,F,10/20/2021,22:29:07,.700540800
2,1.696639095883e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4986233711243,Volt DC,100,T,2W,F,F,10/20/2021,22:29:08,.096402760
3,1.672669647235e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9988860487938,Volt DC,100,T,2W,F,F,10/20/2021,22:29:08,.492266280
4,1.642901281684e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4986451864243,Volt DC,100,T,2W,F,F,10/20/2021,22:29:08,.888145460
5,1.652962922094e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9987018108368,Volt DC,100,T,2W,F,F,10/20/2021,22:29:09,.284010100
6,1.670263216624e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4990444183350,Volt DC,100,T,2W,F,F,10/20/2021,22:29:09,.679872940
7,1.680037620133e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9988472461700,Volt DC,100,T,2W,F,F,10/20/2021,22:29:10,.075744840
8,1.667838134267e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4988832473755,Volt DC,100,T,2W,F,F,10/20/2021,22:29:10,.471615560
9,1.638876412358e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9987900257111,Volt DC,100,T,2W,F,F,10/20/2021,22:29:10,.867498380
10,1.667357807378e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4988369941711,Volt DC,100,T,2W,F,F,10/20/2021,22:29:11,.263340340
11,1.686468209527e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9991230964661,Volt DC,100,T,2W,F,F,10/20/2021,22:29:11,.659194280
12,1.686756689878e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4991540908813,Volt DC,100,T,2W,F,F,10/20/2021,22:29:12,.055081780
13,1.675572924853e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9995336532593,Volt DC,100,T,2W,F,F,10/20/2021,22:29:12,.450961700
14,1.654611558877e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4992346763611,Volt DC,100,T,2W,F,F,10/20/2021,22:29:12,.846836060
15,1.674674443564e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9993805885315,Volt DC,100,T,2W,F,F,10/20/2021,22:29:13,.242691780
16,1.689402751026e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4992775917053,Volt DC,100,T,2W,F,F,10/20/2021,22:29:13,.638564200
17,1.69517484494e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9992547035217,Volt DC,100,T,2W,F,F,10/20/2021,22:29:14,.034426320
18,1.677227423613e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4992790222168,Volt DC,100,T,2W,F,F,10/20/2021,22:29:14,.430293240
19,1.660220050326e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9991531372070,Volt DC,100,T,2W,F,F,10/20/2021,22:29:14,.826158380
20,1.683651262852e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.4994716644287,Volt DC,100,T,2W,F,F,10/20/2021,22:29:15,.222014400
21,1.698754559243e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.9992208480835,Volt DC,100,T,2W,F,F,10/20/2021,22:29:15,.617869220
22,1.70485083828e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.4991722106934,Volt DC,100,T,2W,F,F,10/20/2021,22:29:16,.013708920
23,1.695985396566e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.9992952346802,Volt DC,100,T,2W,F,F,10/20/2021,22:29:16,.409567920
24,1.666088600416e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.4991350173950,Volt DC,100,T,2W,F,F,10/20/2021,22:29:16,.805451120
25,1.699559071255e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.9996843338013,Volt DC,100,T,2W,F,F,10/20/2021,22:29:17,.201310080
26,1.706839647397e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.4996137619019,Volt DC,100,T,2W,F,F,10/20/2021,22:29:17,.597161900
27,1.708614760787e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.9999008178711,Volt DC,100,T,2W,F,F,10/20/2021,22:29:17,.993029840
28,1.687870643252e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.4997158050537,Volt DC,100,T,2W,F,F,10/20/2021,22:29:18,.388874000
29,1.668162852297e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.9996767044067,Volt DC,100,T,2W,F,F,10/20/2021,22:29:18,.784746620
30,1.699963725343e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.4997014999390,Volt DC,100,T,2W,F,F,10/20/2021,22:29:19,.180609380
31,1.709477537304e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.9995641708374,Volt DC,100,T,2W,F,F,10/20/2021,22:29:19,.576484620
32,1.718918340998e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.4997224807739,Volt DC,100,T,2W,F,F,10/20/2021,22:29:19,.972359660
33,1.705140384445e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.9997920989990,Volt DC,100,T,2W,F,F,10/20/2021,22:29:20,.368213160
34,1.681342176596e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.4997463226318,Volt DC,100,T,2W,F,F,10/20/2021,22:29:20,.764080860
35,1.714980690792e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.9997196197510,Volt DC,100,T,2W,F,F,10/20/2021,22:29:21,.159938880
36,1.719211617512e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.4993972778320,Volt DC,100,T,2W,F,F,10/20/2021,22:29:21,.555806120
37,1.726790266332e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.9996051788330,Volt DC,100,T,2W,F,F,10/20/2021,22:29:21,.951651420
38,1.703843643952e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.4996318817139,Volt DC,100,T,2W,F,F,10/20/2021,22:29:22,.347524000
39,1.692574436163e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.9999809265137,Volt DC,100,T,2W,F,F,10/20/2021,22:29:22,.743393320
40,1.718172804033e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.5002346038818,Volt DC,100,T,2W,F,F,10/20/2021,22:29:23,.139234920
41,1.729678800189e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.9999942779541,Volt DC,100,T,2W,F,F,10/20/2021,22:29:23,.535086220
42,1.738020571906e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.5000782012939,Volt DC,100,T,2W,F,F,10/20/2021,22:29:23,.930938400
43,1.712707486945e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.9998970031738,Volt DC,100,T,2W,F,F,10/20/2021,22:29:24,.326791540
44,1.704146868065e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.4998836517334,Volt DC,100,T,2W,F,F,10/20/2021,22:29:24,.722674740
45,1.736796129137e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.9999389648438,Volt DC,100,T,2W,F,F,10/20/2021,22:29:25,.118537240
46,1.737638299915e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.4999504089355,Volt DC,100,T,2W,F,F,10/20/2021,22:29:25,.514399780
47,1.73752159327e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.9998874664307,Volt DC,100,T,2W,F,F,10/20/2021,22:29:25,.910265220
48,1.701304697121e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.4998149871826,Volt DC,100,T,2W,F,F,10/20/2021,22:29:26,.306134860
49,1.706214192154e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.9997367858887,Volt DC,100,T,2W,F,F,10/20/2021,22:29:26,.702016840
50,1.734646204454e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.4999294281006,Volt DC,100,T,2W,F,F,10/20/2021,22:29:27,.097874580
51,1.736442101219e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.9995536804199,Volt DC,100,T,2W,F,F,10/20/2021,22:29:27,.493749660
52,1.728646736865e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.4994888305664,Volt DC,100,T,2W,F,F,10/20/2021,22:29:27,.889605580
53,1.702131946502e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.9991893768311,Volt DC,100,T,2W,F,F,10/20/2021,22:29:28,.285475440
54,1.720467146527e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.4994354248047,Volt DC,100,T,2W,F,F,10/20/2021,22:29:28,.681314220
55,1.744304078954e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.9993610382080,Volt DC,100,T,2W,F,F,10/20/2021,22:29:29,.077172160
56,1.750009204216e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.4992084503174,Volt DC,100,T,2W,F,F,10/20/2021,22:29:29,.473039300
57,1.735081056609e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.9994239807129,Volt DC,100,T,2W,F,F,10/20/2021,22:29:29,.868903760
58,1.707077146307e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.4992427825928,Volt DC,100,T,2W,F,F,10/20/2021,22:29:30,.264752420
59,1.731823928708e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.9993095397949,Volt DC,100,T,2W,F,F,10/20/2021,22:29:30,.660618420
60,1.745495303851e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.4992389678955,Volt DC,100,T,2W,F,F,10/20/2021,22:29:31,.056488660
61,1.748137812285e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.9992504119873,Volt DC,100,T,2W,F,F,10/20/2021,22:29:31,.452362880
62,1.732351684325e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.4993686676025,Volt DC,100,T,2W,F,F,10/20/2021,22:29:31,.848209240
63,1.714054675972e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.9991741180420,Volt DC,100,T,2W,F,F,10/20/2021,22:29:32,.244058400
64,1.749256561823e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.4991512298584,Volt DC,100,T,2W,F,F,10/20/2021,22:29:32,.639907040
65,1.755801370962e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.9989433288574,Volt DC,100,T,2W,F,F,10/20/2021,22:29:33,.035763200
66,1.762575330133e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.4996757507324,Volt DC,100,T,2W,F,F,10/20/2021,22:29:33,.431650620
67,1.718112940807e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.9998588562012,Volt DC,100,T,2W,F,F,10/20/2021,22:29:33,.827513080
68,1.733883259192e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.4996414184570,Volt DC,100,T,2W,F,F,10/20/2021,22:29:34,.223387860
69,1.821741157926e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.9995002746582,Volt DC,100,T,2W,F,F,10/20/2021,22:29:34,.619243320
70,1.870604826593e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.4994163513184,Volt DC,100,T,2W,F,F,10/20/2021,22:29:35,.015111540
71,2.219456796126e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.9993820190430,Volt DC,100,T,2W,F,F,10/20/2021,22:29:35,.410949740
72,2.443381141859e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.4994964599609,Volt DC,100,T,2W,F,F,10/20/2021,22:29:35,.806825980
73,2.252857811413e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.9995803833008,Volt DC,100,T,2W,F,F,10/20/2021,22:29:36,.202700840
74,1.595677012745e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.4997558593750,Volt DC,100,T,2W,F,F,10/20/2021,22:29:36,.598555260
75,1.353063883158e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.9992752075195,Volt DC,100,T,2W,F,F,10/20/2021,22:29:36,.994424960
76,1.345667755004e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.4992904663086,Volt DC,100,T,2W,F,F,10/20/2021,22:29:37,.390268180
77,1.325719534151e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.9993476867676,Volt DC,100,T,2W,F,F,10/20/2021,22:29:37,.786142160
78,1.340519784065e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.4992256164551,Volt DC,100,T,2W,F,F,10/20/2021,22:29:38,.182011900
79,1.347709055466e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.9991264343262,Volt DC,100,T,2W,F,F,10/20/2021,22:29:38,.577870280
80,1.34879707403e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,39.4990272521973,Volt DC,100,T,2W,F,F,10/20/2021,22:29:38,.973732980
