Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1634770063
Base Time Fractional,.663967280
Base Time,10/20/2021 22:47:43.663967280
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.899903733284e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0073024667799,Volt DC,100,T,2W,F,F,10/20/2021,22:47:43,.663967280
2,-4.487828164645e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4983825087547,Volt DC,100,T,2W,F,F,10/20/2021,22:47:44,.425562180
3,1.588554532361e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9988738894463,Volt DC,100,T,2W,F,F,10/20/2021,22:47:44,.821451520
4,1.58684780871e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4987930059433,Volt DC,100,T,2W,F,F,10/20/2021,22:47:45,.217318840
5,1.604685984091e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9988269805908,Volt DC,100,T,2W,F,F,10/20/2021,22:47:45,.613162580
6,1.610398570051e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4990661144257,Volt DC,100,T,2W,F,F,10/20/2021,22:47:46,.009040960
7,1.614174038878e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9989500045776,Volt DC,100,T,2W,F,F,10/20/2021,22:47:46,.404919060
8,1.590758813563e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4990184307098,Volt DC,100,T,2W,F,F,10/20/2021,22:47:46,.800786180
9,1.591078380159e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9988110065460,Volt DC,100,T,2W,F,F,10/20/2021,22:47:47,.196643400
10,1.616342615307e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4990735054016,Volt DC,100,T,2W,F,F,10/20/2021,22:47:47,.592487960
11,1.623792833527e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9993124008179,Volt DC,100,T,2W,F,F,10/20/2021,22:47:47,.988363580
12,1.625229728575e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4991865158081,Volt DC,100,T,2W,F,F,10/20/2021,22:47:48,.384217320
13,1.602892929498e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9995269775391,Volt DC,100,T,2W,F,F,10/20/2021,22:47:48,.780062620
14,1.600323784601e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4992170333862,Volt DC,100,T,2W,F,F,10/20/2021,22:47:49,.175930300
15,1.629607204734e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9993424415588,Volt DC,100,T,2W,F,F,10/20/2021,22:47:49,.571792840
16,1.631848434158e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4991979598999,Volt DC,100,T,2W,F,F,10/20/2021,22:47:49,.967655440
17,1.632288082476e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9992127418518,Volt DC,100,T,2W,F,F,10/20/2021,22:47:50,.363530160
18,1.599804555497e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4993038177490,Volt DC,100,T,2W,F,F,10/20/2021,22:47:50,.759372900
19,1.598341192732e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9990653991699,Volt DC,100,T,2W,F,F,10/20/2021,22:47:51,.155265820
20,1.633025625836e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.4994306564331,Volt DC,100,T,2W,F,F,10/20/2021,22:47:51,.551128680
21,1.633805624124e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.9991855621338,Volt DC,100,T,2W,F,F,10/20/2021,22:47:51,.946996180
22,1.642825786519e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.4990406036377,Volt DC,100,T,2W,F,F,10/20/2021,22:47:52,.342844460
23,1.614454703258e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.9990959167480,Volt DC,100,T,2W,F,F,10/20/2021,22:47:52,.738714080
24,1.611198463536e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.4990015029907,Volt DC,100,T,2W,F,F,10/20/2021,22:47:53,.134575760
25,1.639427793521e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.9995651245117,Volt DC,100,T,2W,F,F,10/20/2021,22:47:53,.530428000
26,1.643738656298e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.4994697570801,Volt DC,100,T,2W,F,F,10/20/2021,22:47:53,.926304780
27,1.654649572913e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.9997034072876,Volt DC,100,T,2W,F,F,10/20/2021,22:47:54,.322184800
28,1.62184186081e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.4996519088745,Volt DC,100,T,2W,F,F,10/20/2021,22:47:54,.718050420
29,1.623237011472e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.9995803833008,Volt DC,100,T,2W,F,F,10/20/2021,22:47:55,.113920580
30,1.644330538397e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.4997100830078,Volt DC,100,T,2W,F,F,10/20/2021,22:47:55,.509776980
31,1.64460658425e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.9994058609009,Volt DC,100,T,2W,F,F,10/20/2021,22:47:55,.905650580
