Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1639859129
Base Time Fractional,.180689420
Base Time,12/18/2021 20:25:29.180689420
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.178881159358e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0032422423828,Volt DC,100,T,2W,F,F,12/18/2021,20:25:29,.180689420
2,-2.622792538709e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4975253939629,Volt DC,100,T,2W,F,F,12/18/2021,20:25:29,.942331900
3,1.708531272016e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9980755448341,Volt DC,100,T,2W,F,F,12/18/2021,20:25:30,.338190620
4,1.721532427723e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4979271888733,Volt DC,100,T,2W,F,F,12/18/2021,20:25:30,.734060380
5,1.749818601127e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9979848861694,Volt DC,100,T,2W,F,F,12/18/2021,20:25:31,.129923980
6,1.749975986343e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4982256889343,Volt DC,100,T,2W,F,F,12/18/2021,20:25:31,.525789040
7,1.729249099469e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9979982376099,Volt DC,100,T,2W,F,F,12/18/2021,20:25:31,.921669900
8,1.709186570054e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4979622364044,Volt DC,100,T,2W,F,F,12/18/2021,20:25:32,.317542400
9,1.7434535593e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9979541301727,Volt DC,100,T,2W,F,F,12/18/2021,20:25:32,.713399840
10,1.755555700811e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4980311393738,Volt DC,100,T,2W,F,F,12/18/2021,20:25:33,.109251420
11,1.753338985111e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9983434677124,Volt DC,100,T,2W,F,F,12/18/2021,20:25:33,.505094680
12,1.713786801361e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4984354972839,Volt DC,100,T,2W,F,F,12/18/2021,20:25:33,.900967000
13,1.718591668975e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9986395835876,Volt DC,100,T,2W,F,F,12/18/2021,20:25:34,.296812340
14,1.745677735698e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4983892440796,Volt DC,100,T,2W,F,F,12/18/2021,20:25:34,.692684200
15,1.753466349896e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9986162185669,Volt DC,100,T,2W,F,F,12/18/2021,20:25:35,.088548120
16,1.754723655267e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4985771179199,Volt DC,100,T,2W,F,F,12/18/2021,20:25:35,.484421400
17,1.726008669323e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9983801841736,Volt DC,100,T,2W,F,F,12/18/2021,20:25:35,.880298820
18,1.731188881138e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4984369277954,Volt DC,100,T,2W,F,F,12/18/2021,20:25:36,.276165700
19,1.755569556394e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9982776641846,Volt DC,100,T,2W,F,F,12/18/2021,20:25:36,.672016480
20,1.770755631014e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.4985103607178,Volt DC,100,T,2W,F,F,12/18/2021,20:25:37,.067884200
21,1.747672584429e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.9983549118042,Volt DC,100,T,2W,F,F,12/18/2021,20:25:37,.463727900
22,1.726834675253e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.4983463287354,Volt DC,100,T,2W,F,F,12/18/2021,20:25:37,.859590720
23,1.746427713556e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.9984035491943,Volt DC,100,T,2W,F,F,12/18/2021,20:25:38,.255447220
24,1.760950851803e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.4983453750610,Volt DC,100,T,2W,F,F,12/18/2021,20:25:38,.651329380
25,1.767967461319e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.9988079071045,Volt DC,100,T,2W,F,F,12/18/2021,20:25:39,.047188560
26,1.743691591116e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.4987649917603,Volt DC,100,T,2W,F,F,12/18/2021,20:25:39,.443050560
27,1.734023058475e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.9991493225098,Volt DC,100,T,2W,F,F,12/18/2021,20:25:39,.838921800
28,1.764725610087e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.4990692138672,Volt DC,100,T,2W,F,F,12/18/2021,20:25:40,.234770580
29,1.778186309309e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.9989099502563,Volt DC,100,T,2W,F,F,12/18/2021,20:25:40,.630643500
30,1.770292001879e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.4990272521973,Volt DC,100,T,2W,F,F,12/18/2021,20:25:41,.026533080
31,1.728627552211e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.9988422393799,Volt DC,100,T,2W,F,F,12/18/2021,20:25:41,.422385940
32,1.737613430919e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.4988870620728,Volt DC,100,T,2W,F,F,12/18/2021,20:25:41,.818248920
33,1.764976609309e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.9990863800049,Volt DC,100,T,2W,F,F,12/18/2021,20:25:42,.214112300
34,1.77051422412e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.4991302490234,Volt DC,100,T,2W,F,F,12/18/2021,20:25:42,.609971060
35,1.772544599987e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.9991683959961,Volt DC,100,T,2W,F,F,12/18/2021,20:25:43,.005816300
36,1.743612365601e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.4988555908203,Volt DC,100,T,2W,F,F,12/18/2021,20:25:43,.401681620
37,1.742874111699e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.9989471435547,Volt DC,100,T,2W,F,F,12/18/2021,20:25:43,.797554200
38,1.767473456482e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.4988327026367,Volt DC,100,T,2W,F,F,12/18/2021,20:25:44,.193419880
39,1.783049441428e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.9991760253906,Volt DC,100,T,2W,F,F,12/18/2021,20:25:44,.589271400
40,1.773192970234e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.4995155334473,Volt DC,100,T,2W,F,F,12/18/2021,20:25:44,.985140660
41,1.737367050225e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.9993076324463,Volt DC,100,T,2W,F,F,12/18/2021,20:25:45,.380993140
42,1.752222900109e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.4993839263916,Volt DC,100,T,2W,F,F,12/18/2021,20:25:45,.776861980
43,1.775351776701e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.9992237091064,Volt DC,100,T,2W,F,F,12/18/2021,20:25:46,.172713180
44,1.77813976876e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.4992408752441,Volt DC,100,T,2W,F,F,12/18/2021,20:25:46,.568576800
45,1.762372114911e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.9992389678955,Volt DC,100,T,2W,F,F,12/18/2021,20:25:46,.964426840
46,1.740393784644e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.4992465972900,Volt DC,100,T,2W,F,F,12/18/2021,20:25:47,.360285180
47,1.767877400027e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.9992465972900,Volt DC,100,T,2W,F,F,12/18/2021,20:25:47,.756149540
48,1.790569648108e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.4991874694824,Volt DC,100,T,2W,F,F,12/18/2021,20:25:48,.152007960
49,1.779469016583e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.9991436004639,Volt DC,100,T,2W,F,F,12/18/2021,20:25:48,.547865320
50,1.751653577742e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.4993476867676,Volt DC,100,T,2W,F,F,12/18/2021,20:25:48,.943729960
51,1.741149091572e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.9989356994629,Volt DC,100,T,2W,F,F,12/18/2021,20:25:49,.339599180
52,1.771249458216e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.4988994598389,Volt DC,100,T,2W,F,F,12/18/2021,20:25:49,.735452520
53,1.774837876667e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.9986743927002,Volt DC,100,T,2W,F,F,12/18/2021,20:25:50,.131318860
54,1.781357283903e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.4989013671875,Volt DC,100,T,2W,F,F,12/18/2021,20:25:50,.527201400
55,1.756894185689e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.9988670349121,Volt DC,100,T,2W,F,F,12/18/2021,20:25:50,.923039540
56,1.744780497859e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.4986896514893,Volt DC,100,T,2W,F,F,12/18/2021,20:25:51,.318907860
57,1.778048464018e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.9988098144531,Volt DC,100,T,2W,F,F,12/18/2021,20:25:51,.714774620
58,1.785172720759e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.4985408782959,Volt DC,100,T,2W,F,F,12/18/2021,20:25:52,.110657740
59,1.785684133893e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.9987411499023,Volt DC,100,T,2W,F,F,12/18/2021,20:25:52,.506506160
60,1.75083627596e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.4986209869385,Volt DC,100,T,2W,F,F,12/18/2021,20:25:52,.902367400
61,1.755785561386e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.9985904693604,Volt DC,100,T,2W,F,F,12/18/2021,20:25:53,.298241140
62,1.782481895418e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.4987678527832,Volt DC,100,T,2W,F,F,12/18/2021,20:25:53,.694080640
63,1.785685377342e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.9985160827637,Volt DC,100,T,2W,F,F,12/18/2021,20:25:54,.089934740
64,1.78074870405e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.4986038208008,Volt DC,100,T,2W,F,F,12/18/2021,20:25:54,.485805940
65,1.746180089413e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.9984550476074,Volt DC,100,T,2W,F,F,12/18/2021,20:25:54,.881658180
66,1.771182311927e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.4991607666016,Volt DC,100,T,2W,F,F,12/18/2021,20:25:55,.277529620
67,1.802912663607e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.9991607666016,Volt DC,100,T,2W,F,F,12/18/2021,20:25:55,.673386580
68,1.831094209592e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.4990615844727,Volt DC,100,T,2W,F,F,12/18/2021,20:25:56,.069239440
69,1.855543452223e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.9990615844727,Volt DC,100,T,2W,F,F,12/18/2021,20:25:56,.465076460
70,2.043636726512e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.4988594055176,Volt DC,100,T,2W,F,F,12/18/2021,20:25:56,.860930320
71,2.245855768024e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.9988632202148,Volt DC,100,T,2W,F,F,12/18/2021,20:25:57,.256785680
72,2.432298273902e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.4991416931152,Volt DC,100,T,2W,F,F,12/18/2021,20:25:57,.652640620
73,2.022163059223e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.9995613098145,Volt DC,100,T,2W,F,F,12/18/2021,20:25:58,.048508720
74,1.550305483988e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.4991912841797,Volt DC,100,T,2W,F,F,12/18/2021,20:25:58,.444360980
75,1.363937762733e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.9988212585449,Volt DC,100,T,2W,F,F,12/18/2021,20:25:58,.840217360
76,1.366011925796e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.4987144470215,Volt DC,100,T,2W,F,F,12/18/2021,20:25:59,.236070420
77,1.370677349399e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.9987106323242,Volt DC,100,T,2W,F,F,12/18/2021,20:25:59,.631946500
78,1.374635250073e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.4986305236816,Volt DC,100,T,2W,F,F,12/18/2021,20:26:00,.027814160
79,1.354960676991e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.9986343383789,Volt DC,100,T,2W,F,F,12/18/2021,20:26:00,.423662600
80,1.351558598373e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,39.4983329772949,Volt DC,100,T,2W,F,F,12/18/2021,20:26:00,.819534400
81,1.370137425738e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,39.9984359741211,Volt DC,100,T,2W,F,F,12/18/2021,20:26:01,.215385360
82,1.372622726592e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,40.4986495971680,Volt DC,100,T,2W,F,F,12/18/2021,20:26:01,.611244640
83,1.372263724875e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,40.9983749389648,Volt DC,100,T,2W,F,F,12/18/2021,20:26:02,.007089620
84,1.357495449383e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,41.4987220764160,Volt DC,100,T,2W,F,F,12/18/2021,20:26:02,.402949580
85,1.355362666544e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,41.9984359741211,Volt DC,100,T,2W,F,F,12/18/2021,20:26:02,.798831100
86,1.368064772578e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,42.4985084533691,Volt DC,100,T,2W,F,F,12/18/2021,20:26:03,.194692700
87,1.369318525235e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,42.9983139038086,Volt DC,100,T,2W,F,F,12/18/2021,20:26:03,.590541520
88,1.36548372609e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,43.4986763000488,Volt DC,100,T,2W,F,F,12/18/2021,20:26:03,.986400100
89,1.353537193438e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,43.9985427856445,Volt DC,100,T,2W,F,F,12/18/2021,20:26:04,.382255800
90,1.358045942368e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,44.4984169006348,Volt DC,100,T,2W,F,F,12/18/2021,20:26:04,.778113600
91,1.368967161852e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,44.9986495971680,Volt DC,100,T,2W,F,F,12/18/2021,20:26:05,.173966280
92,1.369162561105e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,45.4981689453125,Volt DC,100,T,2W,F,F,12/18/2021,20:26:05,.569821720
93,1.360653900662e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,45.9986534118652,Volt DC,100,T,2W,F,F,12/18/2021,20:26:05,.965675740
