Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1639860639
Base Time Fractional,.517196840
Base Time,12/18/2021 20:50:39.517196840
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.92515878239e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0023491885513,Volt DC,100,T,2W,F,F,12/18/2021,20:50:39,.517196840
2,1.678275296513e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4977638721466,Volt DC,100,T,2W,F,F,12/18/2021,20:50:39,.913062320
3,1.695245011035e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9979909062386,Volt DC,100,T,2W,F,F,12/18/2021,20:50:40,.308909600
4,1.694453644063e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4979784488678,Volt DC,100,T,2W,F,F,12/18/2021,20:50:40,.704770980
5,1.657864245885e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9978742599487,Volt DC,100,T,2W,F,F,12/18/2021,20:50:41,.100655760
6,1.656997739019e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4981470108032,Volt DC,100,T,2W,F,F,12/18/2021,20:50:41,.496504840
7,1.678835737096e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9981229305267,Volt DC,100,T,2W,F,F,12/18/2021,20:50:41,.892379500
8,1.685823036723e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4979925155640,Volt DC,100,T,2W,F,F,12/18/2021,20:50:42,.288235320
9,1.684010797476e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9978787899017,Volt DC,100,T,2W,F,F,12/18/2021,20:50:42,.684106060
10,1.655714676474e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4980940818787,Volt DC,100,T,2W,F,F,12/18/2021,20:50:43,.079977120
11,1.666510662801e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9983334541321,Volt DC,100,T,2W,F,F,12/18/2021,20:50:43,.475833300
12,1.687758910407e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4983658790588,Volt DC,100,T,2W,F,F,12/18/2021,20:50:43,.871703120
13,1.685852168976e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9986395835876,Volt DC,100,T,2W,F,F,12/18/2021,20:50:44,.267578200
