Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1634767929
Base Time Fractional,.055501820
Base Time,10/20/2021 22:12:09.055501820
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-7.075007940616e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0014447413851,Volt DC,100,T,2W,F,F,10/20/2021,22:12:09,.055501820
2,1.67557594466e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4986004233360,Volt DC,100,T,2W,F,F,10/20/2021,22:12:09,.451392180
3,1.670436056145e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9988518357277,Volt DC,100,T,2W,F,F,10/20/2021,22:12:09,.847253840
4,1.635877922013e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4986798763275,Volt DC,100,T,2W,F,F,10/20/2021,22:12:10,.243125620
5,1.652191627954e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9986667633057,Volt DC,100,T,2W,F,F,10/20/2021,22:12:10,.638996120
6,1.669635807389e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4990115165710,Volt DC,100,T,2W,F,F,10/20/2021,22:12:11,.034866920
7,1.671173421869e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9988963603973,Volt DC,100,T,2W,F,F,10/20/2021,22:12:11,.430740120
8,1.647149616701e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4989066123962,Volt DC,100,T,2W,F,F,10/20/2021,22:12:11,.826610360
9,1.63113593743e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9987814426422,Volt DC,100,T,2W,F,F,10/20/2021,22:12:12,.222471840
10,1.677006977729e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4989290237427,Volt DC,100,T,2W,F,F,10/20/2021,22:12:12,.618325280
11,1.67030371756e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9990544319153,Volt DC,100,T,2W,F,F,10/20/2021,22:12:13,.014176080
12,1.667560844965e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4991002082825,Volt DC,100,T,2W,F,F,10/20/2021,22:12:13,.410047320
13,1.659027937251e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9994897842407,Volt DC,100,T,2W,F,F,10/20/2021,22:12:13,.805901040
14,1.644581182347e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4990892410278,Volt DC,100,T,2W,F,F,10/20/2021,22:12:14,.201771940
15,1.67096345649e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9993042945862,Volt DC,100,T,2W,F,F,10/20/2021,22:12:14,.597613160
16,1.671420690741e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4993033409119,Volt DC,100,T,2W,F,F,10/20/2021,22:12:14,.993470220
17,1.659965143119e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9991669654846,Volt DC,100,T,2W,F,F,10/20/2021,22:12:15,.389348220
18,1.635290480806e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4992895126343,Volt DC,100,T,2W,F,F,10/20/2021,22:12:15,.785197120
