Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1634769456
Base Time Fractional,.761363540
Base Time,10/20/2021 22:37:36.761363540
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.657157354731e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0014447411522,Volt DC,100,T,2W,F,F,10/20/2021,22:37:36,.761363540
2,1.701059026971e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4987266659737,Volt DC,100,T,2W,F,F,10/20/2021,22:37:37,.157251160
3,1.711181418784e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9988865256310,Volt DC,100,T,2W,F,F,10/20/2021,22:37:37,.553111640
4,1.677048899751e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4988059997559,Volt DC,100,T,2W,F,F,10/20/2021,22:37:37,.948999660
5,1.65521107931e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9987936019897,Volt DC,100,T,2W,F,F,10/20/2021,22:37:38,.344866660
6,1.694760243254e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4990229606628,Volt DC,100,T,2W,F,F,10/20/2021,22:37:38,.740745460
7,1.700779073133e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9989638328552,Volt DC,100,T,2W,F,F,10/20/2021,22:37:39,.136618060
8,1.700177953978e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4988951683044,Volt DC,100,T,2W,F,F,10/20/2021,22:37:39,.532485640
9,1.671666893799e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9987571239471,Volt DC,100,T,2W,F,F,10/20/2021,22:37:39,.928347380
10,1.669866200871e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4988932609558,Volt DC,100,T,2W,F,F,10/20/2021,22:37:40,.324201660
11,1.70340292982e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9992260932922,Volt DC,100,T,2W,F,F,10/20/2021,22:37:40,.720083060
12,1.711450003938e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4991331100464,Volt DC,100,T,2W,F,F,10/20/2021,22:37:41,.115955060
13,1.701110186048e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9995546340942,Volt DC,100,T,2W,F,F,10/20/2021,22:37:41,.511807580
14,1.668539972854e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4991559982300,Volt DC,100,T,2W,F,F,10/20/2021,22:37:41,.907654560
15,1.687179995713e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9993157386780,Volt DC,100,T,2W,F,F,10/20/2021,22:37:42,.303511860
16,1.704994723184e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4992785453796,Volt DC,100,T,2W,F,F,10/20/2021,22:37:42,.699365120
17,1.710646913011e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9991278648376,Volt DC,100,T,2W,F,F,10/20/2021,22:37:43,.095222280
18,1.695177687111e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4992532730103,Volt DC,100,T,2W,F,F,10/20/2021,22:37:43,.491085140
19,1.67543063867e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9990959167480,Volt DC,100,T,2W,F,F,10/20/2021,22:37:43,.886959980
20,1.693755713461e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.4993362426758,Volt DC,100,T,2W,F,F,10/20/2021,22:37:44,.282822180
21,1.712364827711e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.9992055892944,Volt DC,100,T,2W,F,F,10/20/2021,22:37:44,.678690600
22,1.724017906213e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.4990816116333,Volt DC,100,T,2W,F,F,10/20/2021,22:37:45,.074541140
23,1.696276008545e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.9991807937622,Volt DC,100,T,2W,F,F,10/20/2021,22:37:45,.470403580
24,1.676112226789e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.4990091323853,Volt DC,100,T,2W,F,F,10/20/2021,22:37:45,.866269840
25,1.719701003822e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.9995059967041,Volt DC,100,T,2W,F,F,10/20/2021,22:37:46,.262128540
26,1.721442366431e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.4995632171631,Volt DC,100,T,2W,F,F,10/20/2021,22:37:46,.657995820
27,1.725258869101e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.9998016357422,Volt DC,100,T,2W,F,F,10/20/2021,22:37:47,.053873420
28,1.700743190725e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.4996843338013,Volt DC,100,T,2W,F,F,10/20/2021,22:37:47,.449726200
29,1.687678441442e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.9997272491455,Volt DC,100,T,2W,F,F,10/20/2021,22:37:47,.845584020
30,1.723555875799e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.4995908737183,Volt DC,100,T,2W,F,F,10/20/2021,22:37:48,.241444620
31,1.734178667334e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.9995946884155,Volt DC,100,T,2W,F,F,10/20/2021,22:37:48,.637316460
32,1.729508980475e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.4996509552002,Volt DC,100,T,2W,F,F,10/20/2021,22:37:49,.033199160
33,1.699713791936e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.9998416900635,Volt DC,100,T,2W,F,F,10/20/2021,22:37:49,.429074540
34,1.704127683411e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.4997844696045,Volt DC,100,T,2W,F,F,10/20/2021,22:37:49,.824948460
35,1.734897558947e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.9997539520264,Volt DC,100,T,2W,F,F,10/20/2021,22:37:50,.220796200
36,1.735299193228e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.4994392395020,Volt DC,100,T,2W,F,F,10/20/2021,22:37:50,.616657460
37,1.732927934484e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.9996471405029,Volt DC,100,T,2W,F,F,10/20/2021,22:37:51,.012499580
38,1.695624618492e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.4996299743652,Volt DC,100,T,2W,F,F,10/20/2021,22:37:51,.408342140
39,1.722851905583e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.9999809265137,Volt DC,100,T,2W,F,F,10/20/2021,22:37:51,.804195220
40,1.742849065067e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.5002269744873,Volt DC,100,T,2W,F,F,10/20/2021,22:37:52,.200048640
41,1.745194744274e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.0000095367432,Volt DC,100,T,2W,F,F,10/20/2021,22:37:52,.595911720
42,1.720292353014e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.5000343322754,Volt DC,100,T,2W,F,F,10/20/2021,22:37:52,.991777000
