Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1639857046
Base Time Fractional,.179396900
Base Time,12/18/2021 19:50:46.179396900
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-6.905755134401e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0025895610452,Volt DC,100,T,2W,F,F,12/18/2021,19:50:46,.179396900
2,1.659017101474e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4975759387016,Volt DC,100,T,2W,F,F,12/18/2021,19:50:46,.575310520
3,1.691662809833e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9977530837059,Volt DC,100,T,2W,F,F,12/18/2021,19:50:46,.971222580
4,1.699567420133e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4976665973663,Volt DC,100,T,2W,F,F,12/18/2021,19:50:47,.367120560
5,1.69730594024e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9975581169128,Volt DC,100,T,2W,F,F,12/18/2021,19:50:47,.763027560
6,1.681753403204e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4979414939880,Volt DC,100,T,2W,F,F,12/18/2021,19:50:48,.158926740
7,1.66671938473e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9978423118591,Volt DC,100,T,2W,F,F,12/18/2021,19:50:48,.554814740
8,1.691444317942e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4977672100067,Volt DC,100,T,2W,F,F,12/18/2021,19:50:48,.950683260
9,1.699117291309e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9976460933685,Volt DC,100,T,2W,F,F,12/18/2021,19:50:49,.346570380
10,1.704651531043e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4977660179138,Volt DC,100,T,2W,F,F,12/18/2021,19:50:49,.742474400
11,1.689568307484e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9981369972229,Volt DC,100,T,2W,F,F,12/18/2021,19:50:50,.138382760
12,1.672251492835e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4982008934021,Volt DC,100,T,2W,F,F,12/18/2021,19:50:50,.534277660
13,1.694820817022e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9984002113342,Volt DC,100,T,2W,F,F,12/18/2021,19:50:50,.930178700
14,1.701281604483e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4981617927551,Volt DC,100,T,2W,F,F,12/18/2021,19:50:51,.326089900
15,1.709777208703e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9982376098633,Volt DC,100,T,2W,F,F,12/18/2021,19:50:51,.721992600
16,1.692315798607e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4981617927551,Volt DC,100,T,2W,F,F,12/18/2021,19:50:52,.117876260
17,1.675981486926e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9981808662415,Volt DC,100,T,2W,F,F,12/18/2021,19:50:52,.513769380
18,1.702021990013e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4981822967529,Volt DC,100,T,2W,F,F,12/18/2021,19:50:52,.909637980
19,1.707256913619e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9981002807617,Volt DC,100,T,2W,F,F,12/18/2021,19:50:53,.305554480
20,1.719114806065e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.4982986450195,Volt DC,100,T,2W,F,F,12/18/2021,19:50:53,.701437520
21,1.693579498863e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.9981536865234,Volt DC,100,T,2W,F,F,12/18/2021,19:50:54,.097343860
22,1.681963013311e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.4980430603027,Volt DC,100,T,2W,F,F,12/18/2021,19:50:54,.493267200
23,1.70580154446e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.9981155395508,Volt DC,100,T,2W,F,F,12/18/2021,19:50:54,.889171200
24,1.711319086439e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.4980850219727,Volt DC,100,T,2W,F,F,12/18/2021,19:50:55,.285064900
25,1.721198472637e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.9984931945801,Volt DC,100,T,2W,F,F,12/18/2021,19:50:55,.680955940
26,1.702662899561e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.4985446929932,Volt DC,100,T,2W,F,F,12/18/2021,19:50:56,.076866400
27,1.686772321818e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.9987363815308,Volt DC,100,T,2W,F,F,12/18/2021,19:50:56,.472775840
28,1.706805008439e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.4987230300903,Volt DC,100,T,2W,F,F,12/18/2021,19:50:56,.868677500
29,1.712964881051e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.9987077713013,Volt DC,100,T,2W,F,F,12/18/2021,19:50:57,.264583500
30,1.71578911079e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.4986982345581,Volt DC,100,T,2W,F,F,12/18/2021,19:50:57,.660472380
31,1.699456042559e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.9985723495483,Volt DC,100,T,2W,F,F,12/18/2021,19:50:58,.056369200
32,1.689483042355e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.4986152648926,Volt DC,100,T,2W,F,F,12/18/2021,19:50:58,.452253460
33,1.7104646588e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.9988441467285,Volt DC,100,T,2W,F,F,12/18/2021,19:50:58,.848140520
34,1.720142606132e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.4987754821777,Volt DC,100,T,2W,F,F,12/18/2021,19:50:59,.244023780
35,1.71847336361e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.9987945556641,Volt DC,100,T,2W,F,F,12/18/2021,19:50:59,.639912100
36,1.69907981018e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.4986362457275,Volt DC,100,T,2W,F,F,12/18/2021,19:51:00,.035820180
37,1.692023055e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.9985828399658,Volt DC,100,T,2W,F,F,12/18/2021,19:51:00,.431727320
38,1.721829079315e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.4987239837646,Volt DC,100,T,2W,F,F,12/18/2021,19:51:00,.827614700
39,1.732203003257e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.9990062713623,Volt DC,100,T,2W,F,F,12/18/2021,19:51:01,.223502200
40,1.724917098045e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.4993152618408,Volt DC,100,T,2W,F,F,12/18/2021,19:51:01,.619395780
41,1.709142516404e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.9990673065186,Volt DC,100,T,2W,F,F,12/18/2021,19:51:02,.015297760
42,1.694628082305e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.4992084503174,Volt DC,100,T,2W,F,F,12/18/2021,19:51:02,.411205980
43,1.723135412135e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.9990081787109,Volt DC,100,T,2W,F,F,12/18/2021,19:51:02,.807091960
44,1.736220589521e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.4990673065186,Volt DC,100,T,2W,F,F,12/18/2021,19:51:03,.202965640
45,1.727884324509e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.9990863800049,Volt DC,100,T,2W,F,F,12/18/2021,19:51:03,.598843660
46,1.717732800444e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.4990711212158,Volt DC,100,T,2W,F,F,12/18/2021,19:51:03,.994746980
47,1.700963458973e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.9992218017578,Volt DC,100,T,2W,F,F,12/18/2021,19:51:04,.390640980
48,1.715601172236e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.4989814758301,Volt DC,100,T,2W,F,F,12/18/2021,19:51:04,.786530640
49,1.72412377708e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.9990825653076,Volt DC,100,T,2W,F,F,12/18/2021,19:51:05,.182428060
50,1.733318732988e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.4991607666016,Volt DC,100,T,2W,F,F,12/18/2021,19:51:05,.578326780
51,1.724840537065e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.9990539550781,Volt DC,100,T,2W,F,F,12/18/2021,19:51:05,.974228740
52,1.709028474295e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.4988040924072,Volt DC,100,T,2W,F,F,12/18/2021,19:51:06,.370112900
53,1.712757757844e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.9983005523682,Volt DC,100,T,2W,F,F,12/18/2021,19:51:06,.766022960
54,1.727482867864e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.4987201690674,Volt DC,100,T,2W,F,F,12/18/2021,19:51:07,.161926540
55,1.737238619626e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.9986782073975,Volt DC,100,T,2W,F,F,12/18/2021,19:51:07,.557827720
56,1.730873577799e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.4985046386719,Volt DC,100,T,2W,F,F,12/18/2021,19:51:07,.953726700
57,1.711592290121e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.9987239837646,Volt DC,100,T,2W,F,F,12/18/2021,19:51:08,.349615700
58,1.710546904121e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.4985218048096,Volt DC,100,T,2W,F,F,12/18/2021,19:51:08,.745531380
59,1.728497878162e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.9986019134521,Volt DC,100,T,2W,F,F,12/18/2021,19:51:09,.141419740
60,1.731523013859e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.4985733032227,Volt DC,100,T,2W,F,F,12/18/2021,19:51:09,.537309580
61,1.725774723127e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.9985141754150,Volt DC,100,T,2W,F,F,12/18/2021,19:51:09,.933214660
62,1.705263308338e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.4986877441406,Volt DC,100,T,2W,F,F,12/18/2021,19:51:10,.329096840
63,1.713467412401e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.9984645843506,Volt DC,100,T,2W,F,F,12/18/2021,19:51:10,.725014340
64,1.731244658743e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.4984798431396,Volt DC,100,T,2W,F,F,12/18/2021,19:51:11,.120918020
65,1.731261711768e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.9983406066895,Volt DC,100,T,2W,F,F,12/18/2021,19:51:11,.516814800
66,1.730571241865e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.4991302490234,Volt DC,100,T,2W,F,F,12/18/2021,19:51:11,.912701100
67,1.698174045828e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.9990463256836,Volt DC,100,T,2W,F,F,12/18/2021,19:51:12,.308604060
68,1.74142780196e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.4990158081055,Volt DC,100,T,2W,F,F,12/18/2021,19:51:12,.704493720
69,1.810482253006e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.9989280700684,Volt DC,100,T,2W,F,F,12/18/2021,19:51:13,.100377780
70,1.853746134373e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.4989471435547,Volt DC,100,T,2W,F,F,12/18/2021,19:51:13,.496253580
71,2.113166530648e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.9989433288574,Volt DC,100,T,2W,F,F,12/18/2021,19:51:13,.892153120
72,2.415749378315e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.4990425109863,Volt DC,100,T,2W,F,F,12/18/2021,19:51:14,.288050320
73,2.250565778183e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.9988441467285,Volt DC,100,T,2W,F,F,12/18/2021,19:51:14,.683955900
74,1.64182889506e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.4993324279785,Volt DC,100,T,2W,F,F,12/18/2021,19:51:15,.079845060
75,1.332741295101e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.9987945556641,Volt DC,100,T,2W,F,F,12/18/2021,19:51:15,.475756680
76,1.330026933033e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.4988021850586,Volt DC,100,T,2W,F,F,12/18/2021,19:51:15,.871650040
77,1.318194797761e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.9986953735352,Volt DC,100,T,2W,F,F,12/18/2021,19:51:16,.267567820
78,1.321011300348e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.4986801147461,Volt DC,100,T,2W,F,F,12/18/2021,19:51:16,.663474540
79,1.327398546636e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.9984664916992,Volt DC,100,T,2W,F,F,12/18/2021,19:51:17,.059380140
80,1.328253773636e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,39.4983787536621,Volt DC,100,T,2W,F,F,12/18/2021,19:51:17,.455281160
81,1.324947618286e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,39.9984703063965,Volt DC,100,T,2W,F,F,12/18/2021,19:51:17,.851154460
82,1.31495250244e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,40.4986076354980,Volt DC,100,T,2W,F,F,12/18/2021,19:51:18,.247046920
83,1.316789166594e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,40.9984054565430,Volt DC,100,T,2W,F,F,12/18/2021,19:51:18,.642933560
84,1.323546605647e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,41.4988059997559,Volt DC,100,T,2W,F,F,12/18/2021,19:51:19,.038834180
85,1.32785231699e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,41.9982376098633,Volt DC,100,T,2W,F,F,12/18/2021,19:51:19,.434707700
86,1.325271981045e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,42.4984169006348,Volt DC,100,T,2W,F,F,12/18/2021,19:51:19,.830587160
87,1.30998900616e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,42.9982414245605,Volt DC,100,T,2W,F,F,12/18/2021,19:51:20,.226500040
88,1.317509656928e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,43.4987068176270,Volt DC,100,T,2W,F,F,12/18/2021,19:51:20,.622372900
89,1.322401033121e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,43.9984703063965,Volt DC,100,T,2W,F,F,12/18/2021,19:51:21,.018273800
90,1.325021781184e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,44.4983177185059,Volt DC,100,T,2W,F,F,12/18/2021,19:51:21,.414173540
91,1.323361953354e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,44.9985084533691,Volt DC,100,T,2W,F,F,12/18/2021,19:51:21,.810104460
92,1.311160424677e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,45.4981193542480,Volt DC,100,T,2W,F,F,12/18/2021,19:51:22,.205980920
93,1.317533637746e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,45.9987678527832,Volt DC,100,T,2W,F,F,12/18/2021,19:51:22,.601867680
94,1.324373233302e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,46.4990921020508,Volt DC,100,T,2W,F,F,12/18/2021,19:51:22,.997761360
