Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1639859598
Base Time Fractional,.222183780
Base Time,12/18/2021 20:33:18.222183780
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.689878875195e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0077992966399,Volt DC,100,T,2W,F,F,12/18/2021,20:33:18,.222183780
2,-3.065140086189e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4974331259727,Volt DC,100,T,2W,F,F,12/18/2021,20:33:18,.983812200
3,1.720318998366e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9979706406593,Volt DC,100,T,2W,F,F,12/18/2021,20:33:19,.379691180
4,1.702927754366e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4978905916214,Volt DC,100,T,2W,F,F,12/18/2021,20:33:19,.775550640
5,1.730480114759e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9979248046875,Volt DC,100,T,2W,F,F,12/18/2021,20:33:20,.171399300
6,1.735567245476e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4982898235321,Volt DC,100,T,2W,F,F,12/18/2021,20:33:20,.567254720
7,1.731058674181e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9980728626251,Volt DC,100,T,2W,F,F,12/18/2021,20:33:20,.963124820
8,1.692894535665e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4980943202972,Volt DC,100,T,2W,F,F,12/18/2021,20:33:21,.358966080
9,1.701617691197e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9978892803192,Volt DC,100,T,2W,F,F,12/18/2021,20:33:21,.754825680
10,1.728393783651e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4980368614197,Volt DC,100,T,2W,F,F,12/18/2021,20:33:22,.150680400
11,1.735085319865e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9984602928162,Volt DC,100,T,2W,F,F,12/18/2021,20:33:22,.546530880
12,1.729605259015e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4982852935791,Volt DC,100,T,2W,F,F,12/18/2021,20:33:22,.942402620
13,1.704514751566e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9985628128052,Volt DC,100,T,2W,F,F,12/18/2021,20:33:23,.338262540
14,1.701213570016e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4982876777649,Volt DC,100,T,2W,F,F,12/18/2021,20:33:23,.734122080
15,1.729207532719e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9983768463135,Volt DC,100,T,2W,F,F,12/18/2021,20:33:24,.129986920
16,1.741108590636e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4984812736511,Volt DC,100,T,2W,F,F,12/18/2021,20:33:24,.525833820
17,1.742613342515e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9984126091003,Volt DC,100,T,2W,F,F,12/18/2021,20:33:24,.921715080
18,1.712931307907e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4985399246216,Volt DC,100,T,2W,F,F,12/18/2021,20:33:25,.317572940
19,1.711313402097e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9982299804688,Volt DC,100,T,2W,F,F,12/18/2021,20:33:25,.713434880
20,1.734135501863e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.4985857009888,Volt DC,100,T,2W,F,F,12/18/2021,20:33:26,.109322180
21,1.742818689365e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.9983730316162,Volt DC,100,T,2W,F,F,12/18/2021,20:33:26,.505175540
22,1.743212507677e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.4982404708862,Volt DC,100,T,2W,F,F,12/18/2021,20:33:26,.901062640
23,1.717429931603e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.9983530044556,Volt DC,100,T,2W,F,F,12/18/2021,20:33:27,.296915900
24,1.713965325223e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.4983549118042,Volt DC,100,T,2W,F,F,12/18/2021,20:33:27,.692780000
25,1.749384459515e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.9987039566040,Volt DC,100,T,2W,F,F,12/18/2021,20:33:28,.088647280
26,1.754125733555e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.4987497329712,Volt DC,100,T,2W,F,F,12/18/2021,20:33:28,.484520500
27,1.748235867183e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.9991073608398,Volt DC,100,T,2W,F,F,12/18/2021,20:33:28,.880383940
28,1.711353192491e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.4990158081055,Volt DC,100,T,2W,F,F,12/18/2021,20:33:29,.276229340
29,1.713060093778e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.9988498687744,Volt DC,100,T,2W,F,F,12/18/2021,20:33:29,.672098700
30,1.74271850284e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.4988956451416,Volt DC,100,T,2W,F,F,12/18/2021,20:33:30,.067958600
31,1.748749056674e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.9989099502563,Volt DC,100,T,2W,F,F,12/18/2021,20:33:30,.463819120
32,1.753992506792e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.4990253448486,Volt DC,100,T,2W,F,F,12/18/2021,20:33:30,.859679760
33,1.733265442283e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.9991111755371,Volt DC,100,T,2W,F,F,12/18/2021,20:33:31,.255541900
34,1.719084430363e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.4989662170410,Volt DC,100,T,2W,F,F,12/18/2021,20:33:31,.651402500
35,1.74811578546e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,16.9990425109863,Volt DC,100,T,2W,F,F,12/18/2021,20:33:32,.047231400
36,1.749553568686e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.4988365173340,Volt DC,100,T,2W,F,F,12/18/2021,20:33:32,.443096660
37,1.761674717216e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,17.9989356994629,Volt DC,100,T,2W,F,F,12/18/2021,20:33:32,.838971740
38,1.731154597451e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.4989089965820,Volt DC,100,T,2W,F,F,12/18/2021,20:33:33,.234812240
39,1.727160992004e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,18.9994754791260,Volt DC,100,T,2W,F,F,12/18/2021,20:33:33,.630686860
40,1.756338896541e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.4994430541992,Volt DC,100,T,2W,F,F,12/18/2021,20:33:34,.026561220
41,1.766477630838e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,19.9992790222168,Volt DC,100,T,2W,F,F,12/18/2021,20:33:34,.422424960
42,1.761252477195e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.4993705749512,Volt DC,100,T,2W,F,F,12/18/2021,20:33:34,.818302560
43,1.728398224543e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,20.9992771148682,Volt DC,100,T,2W,F,F,12/18/2021,20:33:35,.214154760
44,1.727319798306e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.4991245269775,Volt DC,100,T,2W,F,F,12/18/2021,20:33:35,.610025700
45,1.753178047181e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,21.9992752075195,Volt DC,100,T,2W,F,F,12/18/2021,20:33:36,.005871140
46,1.757186751661e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.4992218017578,Volt DC,100,T,2W,F,F,12/18/2021,20:33:36,.401711260
47,1.759496370823e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,22.9992675781250,Volt DC,100,T,2W,F,F,12/18/2021,20:33:36,.797572820
48,1.733645582647e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.4991340637207,Volt DC,100,T,2W,F,F,12/18/2021,20:33:37,.193430100
49,1.725657483576e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,23.9990558624268,Volt DC,100,T,2W,F,F,12/18/2021,20:33:37,.589305240
50,1.751318556842e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.4992103576660,Volt DC,100,T,2W,F,F,12/18/2021,20:33:37,.985172400
51,1.761674894851e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,24.9990482330322,Volt DC,100,T,2W,F,F,12/18/2021,20:33:38,.381033420
52,1.770658641931e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.4988861083984,Volt DC,100,T,2W,F,F,12/18/2021,20:33:38,.776870900
53,1.742207089706e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,25.9986343383789,Volt DC,100,T,2W,F,F,12/18/2021,20:33:39,.172745700
54,1.734883880999e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.4989681243896,Volt DC,100,T,2W,F,F,12/18/2021,20:33:39,.568616440
55,1.756181511325e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,26.9989280700684,Volt DC,100,T,2W,F,F,12/18/2021,20:33:39,.964481760
56,1.766966839511e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.4987144470215,Volt DC,100,T,2W,F,F,12/18/2021,20:33:40,.360346440
57,1.767319091073e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,27.9988117218018,Volt DC,100,T,2W,F,F,12/18/2021,20:33:40,.756220380
58,1.742788668935e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.4987201690674,Volt DC,100,T,2W,F,F,12/18/2021,20:33:41,.152079660
59,1.736409060982e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,28.9986076354980,Volt DC,100,T,2W,F,F,12/18/2021,20:33:41,.547945880
60,1.762728629728e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.4987735748291,Volt DC,100,T,2W,F,F,12/18/2021,20:33:41,.943809280
61,1.768569823923e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,29.9986610412598,Volt DC,100,T,2W,F,F,12/18/2021,20:33:42,.339685560
62,1.766087542876e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.4987297058105,Volt DC,100,T,2W,F,F,12/18/2021,20:33:42,.735545200
63,1.744146693738e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,30.9986457824707,Volt DC,100,T,2W,F,F,12/18/2021,20:33:43,.131418620
64,1.743781297137e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.4986724853516,Volt DC,100,T,2W,F,F,12/18/2021,20:33:43,.527257280
65,1.761025103519e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,31.9984512329102,Volt DC,100,T,2W,F,F,12/18/2021,20:33:43,.923104300
66,1.776345115445e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.4991683959961,Volt DC,100,T,2W,F,F,12/18/2021,20:33:44,.318958680
67,1.785736003512e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,32.9992218017578,Volt DC,100,T,2W,F,F,12/18/2021,20:33:44,.714794800
68,1.782473901812e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.4991188049316,Volt DC,100,T,2W,F,F,12/18/2021,20:33:45,.110628020
69,1.813415728691e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,33.9990463256836,Volt DC,100,T,2W,F,F,12/18/2021,20:33:45,.506465920
70,2.11208774914e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.4988899230957,Volt DC,100,T,2W,F,F,12/18/2021,20:33:45,.902334860
71,2.360451212269e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,34.9987182617188,Volt DC,100,T,2W,F,F,12/18/2021,20:33:46,.298162580
72,2.671484367056e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.4990844726563,Volt DC,100,T,2W,F,F,12/18/2021,20:33:46,.694026360
73,2.030864365565e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,35.9989395141602,Volt DC,100,T,2W,F,F,12/18/2021,20:33:47,.089886880
74,1.591894793762e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.4993400573730,Volt DC,100,T,2W,F,F,12/18/2021,20:33:47,.485732740
75,1.36217881419e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,36.9987754821777,Volt DC,100,T,2W,F,F,12/18/2021,20:33:47,.881611920
76,1.364569968132e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.4987678527832,Volt DC,100,T,2W,F,F,12/18/2021,20:33:48,.277474940
77,1.357999401819e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,37.9988174438477,Volt DC,100,T,2W,F,F,12/18/2021,20:33:48,.673333520
78,1.348029687875e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.4987335205078,Volt DC,100,T,2W,F,F,12/18/2021,20:33:49,.069191160
79,1.342681343885e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,38.9985733032227,Volt DC,100,T,2W,F,F,12/18/2021,20:33:49,.465032480
80,1.351984924014e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,39.4984703063965,Volt DC,100,T,2W,F,F,12/18/2021,20:33:49,.860903300
81,1.358382739625e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,39.9985008239746,Volt DC,100,T,2W,F,F,12/18/2021,20:33:50,.256748940
82,1.360154477936e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,40.4987602233887,Volt DC,100,T,2W,F,F,12/18/2021,20:33:50,.652611680
83,1.342307065499e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,40.9984741210938,Volt DC,100,T,2W,F,F,12/18/2021,20:33:51,.048469900
84,1.341499178409e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,41.4987297058105,Volt DC,100,T,2W,F,F,12/18/2021,20:33:51,.444318700
85,1.354918488516e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,41.9983978271484,Volt DC,100,T,2W,F,F,12/18/2021,20:33:51,.840193240
86,1.35768409848e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,42.4985504150391,Volt DC,100,T,2W,F,F,12/18/2021,20:33:52,.236042080
87,1.3618104866e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,42.9984550476074,Volt DC,100,T,2W,F,F,12/18/2021,20:33:52,.631908360
88,1.348745559682e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,43.4987030029297,Volt DC,100,T,2W,F,F,12/18/2021,20:33:53,.027783720
89,1.342153232997e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,43.9985733032227,Volt DC,100,T,2W,F,F,12/18/2021,20:33:53,.423644600
90,1.355920797863e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,44.4984321594238,Volt DC,100,T,2W,F,F,12/18/2021,20:33:53,.819515680
91,1.360398460548e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,44.9986801147461,Volt DC,100,T,2W,F,F,12/18/2021,20:33:54,.215373800
92,1.35761411002e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,45.4982147216797,Volt DC,100,T,2W,F,F,12/18/2021,20:33:54,.611241980
93,1.346570233096e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,45.9987831115723,Volt DC,100,T,2W,F,F,12/18/2021,20:33:55,.007104260
94,1.342690580941e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,46.4990081787109,Volt DC,100,T,2W,F,F,12/18/2021,20:33:55,.402943200
95,1.352158207624e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,46.9986763000488,Volt DC,100,T,2W,F,F,12/18/2021,20:33:55,.798806220
96,1.357223045062e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.4988899230957,Volt DC,100,T,2W,F,F,12/18/2021,20:33:56,.194663000
97,1.358444290389e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9985046386719,Volt DC,100,T,2W,F,F,12/18/2021,20:33:56,.590524040
98,1.341297739543e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4990386962891,Volt DC,100,T,2W,F,F,12/18/2021,20:33:56,.986365920
99,1.343167355117e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9988098144531,Volt DC,100,T,2W,F,F,12/18/2021,20:33:57,.382222780
100,1.355144174653e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4987678527832,Volt DC,100,T,2W,F,F,12/18/2021,20:33:57,.778092760
101,1.358516943384e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.9987754821777,Volt DC,100,T,2W,F,F,12/18/2021,20:33:58,.173957960
102,1.363698931556e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.4988212585449,Volt DC,100,T,2W,F,F,12/18/2021,20:33:58,.569819460
103,1.342394462256e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.9985046386719,Volt DC,100,T,2W,F,F,12/18/2021,20:33:58,.965688540
104,1.345110955953e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.4985466003418,Volt DC,100,T,2W,F,F,12/18/2021,20:33:59,.361549340
105,1.357907652988e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.9987068176270,Volt DC,100,T,2W,F,F,12/18/2021,20:33:59,.757411940
106,1.35913937882e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,52.4985084533691,Volt DC,100,T,2W,F,F,12/18/2021,20:34:00,.153258900
107,1.362696355756e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,52.9981651306152,Volt DC,100,T,2W,F,F,12/18/2021,20:34:00,.549101560
108,1.347127565055e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,53.4981918334961,Volt DC,100,T,2W,F,F,12/18/2021,20:34:00,.944940620
109,1.34588562517e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,53.9980697631836,Volt DC,100,T,2W,F,F,12/18/2021,20:34:01,.340807220
110,1.358856316358e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,54.4982452392578,Volt DC,100,T,2W,F,F,12/18/2021,20:34:01,.736663040
111,1.360257062544e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,54.9981536865234,Volt DC,100,T,2W,F,F,12/18/2021,20:34:02,.132533240
112,1.365076229831e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,55.4980926513672,Volt DC,100,T,2W,F,F,12/18/2021,20:34:02,.528362680
