BG_V	BG_I
0	-1.01876E-09
0.1	-9.4023E-10
0.2	-8.65518E-10
0.3	-8.09808E-10
0.4	-7.59496E-10
0.5	-7.12062E-10
0.6	-6.71724E-10
0.7	-6.374E-10
0.8	-6.09678E-10
0.9	-5.75744E-10
1	-5.53458E-10
1.1	-5.27572E-10
1.2	-5.05868E-10
1.3	-4.85744E-10
1.4	-4.68152E-10
1.5	-4.51484E-10
1.6	-4.32182E-10
1.7	-4.17964E-10
1.8	-4.0135E-10
1.9	-3.86158E-10
2	-3.72518E-10
2.1	-3.608E-10
2.2	-3.4585E-10
2.3	-3.3597E-10
2.4	-3.26536E-10
2.5	-3.15232E-10
2.6	-3.05638E-10
2.7	-2.9508E-10
2.8	-2.86778E-10
2.9	-2.7784E-10
3	-2.6997E-10
3.1	-2.60852E-10
3.2	-2.5594E-10
3.3	-2.51036E-10
3.4	-2.41796E-10
3.5	-2.33254E-10
3.6	-2.26358E-10
3.7	-2.18644E-10
3.8	-2.1247E-10
3.9	-2.05888E-10
4	-1.9979E-10
4.1	-1.93998E-10
4.2	-1.90774E-10
4.3	-1.83444E-10
4.4	-1.78234E-10
4.5	-1.74342E-10
4.6	-1.68088E-10
4.7	-1.62978E-10
4.8	-1.60234E-10
4.9	-1.54124E-10
5	-1.49934E-10
5.1	-1.46142E-10
5.2	-1.41034E-10
5.3	-1.37414E-10
5.4	-1.33622E-10
5.5	-1.28954E-10
5.6	-1.26202E-10
5.7	-1.20928E-10
5.8	-1.17204E-10
5.9	-1.12764E-10
6	-1.09624E-10
6.1	-1.0473E-10
6.2	-1.0178E-10
6.3	-9.7124E-11
6.4	-9.4924E-11
6.5	-9.0848E-11
6.6	-8.6616E-11
6.7	-8.3132E-11
6.8	-8.1406E-11
6.9	-7.7266E-11
7	-7.4238E-11
7.1	-7.1542E-11
7.2	-6.8542E-11
7.3	-6.7196E-11
7.4	-6.1892E-11
7.5	-6.007E-11
7.6	-5.7518E-11
7.7	-5.5458E-11
7.8	-5.4254E-11
7.9	-4.9404E-11
8	-4.8056E-11
8.1	-4.4456E-11
8.2	-4.3026E-11
