Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1625846642
Base Time Fractional,.076511560
Base Time,07/09/2021 16:04:02.076511560
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.036268959531e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0330300405622,Volt DC,100,T,2W,F,F,07/09/2021,16:04:02,.076511560
2,-4.17895787419e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4979403614998,Volt DC,100,T,2W,F,F,07/09/2021,16:04:02,.838115420
3,1.752962575097e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.9986649155617,Volt DC,100,T,2W,F,F,07/09/2021,16:04:03,.234011700
4,1.765999080305e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.4983822107315,Volt DC,100,T,2W,F,F,07/09/2021,16:04:03,.629908400
5,1.764146873029e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,1.9984307289124,Volt DC,100,T,2W,F,F,07/09/2021,16:04:04,.025791440
6,1.791703674314e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.4987204074860,Volt DC,100,T,2W,F,F,07/09/2021,16:04:04,.421670160
7,1.801991977857e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,2.9984936714172,Volt DC,100,T,2W,F,F,07/09/2021,16:04:04,.817526280
8,1.808348315535e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.4985668659210,Volt DC,100,T,2W,F,F,07/09/2021,16:04:05,.213412420
9,1.833184803957e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,3.9983170032501,Volt DC,100,T,2W,F,F,07/09/2021,16:04:05,.609312680
10,1.81770225538e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.4985022544861,Volt DC,100,T,2W,F,F,07/09/2021,16:04:06,.005199080
11,1.846756880752e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,4.9988150596619,Volt DC,100,T,2W,F,F,07/09/2021,16:04:06,.401084080
12,1.854522402311e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.4988880157471,Volt DC,100,T,2W,F,F,07/09/2021,16:04:06,.796979680
13,1.893116241547e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,5.9990978240967,Volt DC,100,T,2W,F,F,07/09/2021,16:04:07,.192866900
14,1.884484390757e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.4989638328552,Volt DC,100,T,2W,F,F,07/09/2021,16:04:07,.588774860
15,1.902169621815e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,6.9988965988159,Volt DC,100,T,2W,F,F,07/09/2021,16:04:07,.984647220
16,1.899638135683e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.4989914894104,Volt DC,100,T,2W,F,F,07/09/2021,16:04:08,.380526160
17,1.920120951127e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,7.9988684654236,Volt DC,100,T,2W,F,F,07/09/2021,16:04:08,.776388420
18,1.943946337235e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.4989509582520,Volt DC,100,T,2W,F,F,07/09/2021,16:04:09,.172270380
19,1.963776519176e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9987382888794,Volt DC,100,T,2W,F,F,07/09/2021,16:04:09,.568153860
20,1.967447360585e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.4991054534912,Volt DC,100,T,2W,F,F,07/09/2021,16:04:09,.964035360
21,1.955714701296e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,9.9988346099854,Volt DC,100,T,2W,F,F,07/09/2021,16:04:10,.359915340
22,2.00017389318e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.4987106323242,Volt DC,100,T,2W,F,F,07/09/2021,16:04:10,.755786220
23,1.996978582497e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,10.9989852905273,Volt DC,100,T,2W,F,F,07/09/2021,16:04:11,.151670380
24,2.029328172171e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.4986963272095,Volt DC,100,T,2W,F,F,07/09/2021,16:04:11,.547527560
25,2.026406420441e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,11.9992141723633,Volt DC,100,T,2W,F,F,07/09/2021,16:04:11,.943392880
26,2.02161949403e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.4991827011108,Volt DC,100,T,2W,F,F,07/09/2021,16:04:12,.339276800
27,2.068392923604e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,12.9995031356812,Volt DC,100,T,2W,F,F,07/09/2021,16:04:12,.735182060
28,2.082979833062e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.4993085861206,Volt DC,100,T,2W,F,F,07/09/2021,16:04:13,.131088200
29,2.105849006284e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,13.9992151260376,Volt DC,100,T,2W,F,F,07/09/2021,16:04:13,.526982800
30,2.101990403958e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.4992465972900,Volt DC,100,T,2W,F,F,07/09/2021,16:04:13,.922850300
31,2.109789853932e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,14.9993934631348,Volt DC,100,T,2W,F,F,07/09/2021,16:04:14,.318740700
32,2.124901499201e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,15.4993877410889,Volt DC,100,T,2W,F,F,07/09/2021,16:04:14,.714614660
