index,rep,chip,ultrasound,time,force,gold,chrome,temperature,gate_break_visual,gate_break_measurement,gate_break
1,1,2,230,230,230,100,6,125,FALSE,FALSE,FALSE
2,1,2,180,280,280,40,2,150,FALSE,FALSE,FALSE
3,1,2,280,180,180,40,2,150,FALSE,FALSE,FALSE
4,1,2,180,180,180,160,10,150,FALSE,FALSE,FALSE
5,1,1,280,180,280,40,10,100,FALSE,FALSE,FALSE
6,1,1,230,230,230,100,6,125,FALSE,FALSE,FALSE
7,1,1,280,280,280,160,10,150,FALSE,FALSE,FALSE
8,1,2,280,280,180,160,2,100,TRUE,TRUE,TRUE
9,1,2,180,280,180,40,10,100,FALSE,FALSE,FALSE
10,1,1,180,180,280,160,2,100,FALSE,FALSE,FALSE
11,1,1,230,230,230,100,6,125,FALSE,FALSE,FALSE
12,2,2,230,230,230,100,6,125,FALSE,FALSE,FALSE
13,2,1,180,180,180,160,10,150,FALSE,FALSE,FALSE
14,2,1,280,180,180,40,2,150,FALSE,FALSE,FALSE
15,2,2,280,280,180,160,2,100,FALSE,FALSE,FALSE
16,2,1,180,280,280,40,2,150,FALSE,FALSE,FALSE
17,2,1,230,230,230,100,6,125,FALSE,FALSE,FALSE
18,2,2,180,180,280,160,2,100,FALSE,FALSE,FALSE
19,2,2,280,180,280,40,10,100,FALSE,FALSE,FALSE
20,2,2,180,280,180,40,10,100,FALSE,TRUE,FALSE
21,2,1,280,280,280,160,10,150,TRUE,TRUE,TRUE
22,2,2,230,230,230,100,6,125,FALSE,TRUE,TRUE
23,3,2,230,230,230,100,6,125,FALSE,FALSE,FALSE
24,3,1,280,180,280,40,10,100,FALSE,FALSE,FALSE
25,3,1,180,180,180,160,10,150,FALSE,FALSE,FALSE
26,3,1,180,280,280,40,2,150,FALSE,FALSE,FALSE
27,3,1,280,280,180,160,2,100,FALSE,FALSE,FALSE
28,3,2,230,230,230,100,6,125,FALSE,FALSE,FALSE
29,3,1,280,180,180,40,2,150,FALSE,FALSE,FALSE
30,3,1,180,180,280,160,2,100,FALSE,FALSE,FALSE
31,3,2,180,280,180,40,10,100,FALSE,FALSE,FALSE
32,3,2,280,280,280,160,10,150,TRUE,TRUE,TRUE
33,3,1,230,230,230,100,6,125,FALSE,FALSE,FALSE
34,4,2,230,230,230,100,6,125,FALSE,TRUE,TRUE
35,4,2,280,280,180,160,2,100,FALSE,FALSE,FALSE
36,4,2,180,180,180,160,10,150,FALSE,FALSE,FALSE
37,4,1,180,180,280,160,2,100,FALSE,FALSE,FALSE
38,4,1,280,180,280,40,10,100,FALSE,FALSE,FALSE
39,4,2,230,230,230,100,6,125,FALSE,FALSE,FALSE
40,4,1,180,280,180,40,10,100,FALSE,FALSE,FALSE
41,4,1,280,280,280,160,10,150,TRUE,TRUE,TRUE
42,4,2,180,280,280,40,2,150,FALSE,FALSE,FALSE
43,4,1,280,180,180,40,2,150,FALSE,FALSE,FALSE
44,4,2,230,230,230,100,6,125,FALSE,FALSE,FALSE
45,5,1,230,230,230,100,6,125,FALSE,FALSE,FALSE
46,5,1,280,180,180,40,2,150,TRUE,FALSE,TRUE
47,5,1,180,180,180,160,10,150,FALSE,FALSE,FALSE
48,5,2,280,280,180,160,2,100,FALSE,TRUE,TRUE
49,5,1,180,280,280,40,2,150,FALSE,FALSE,FALSE
50,5,2,230,230,230,100,6,125,FALSE,FALSE,FALSE
51,5,2,180,180,280,160,2,100,FALSE,TRUE,TRUE
52,5,2,280,180,280,40,10,100,TRUE,TRUE,TRUE
53,5,2,180,280,180,40,10,100,FALSE,FALSE,FALSE
54,5,1,280,280,280,160,10,150,TRUE,TRUE,TRUE
55,5,1,230,230,230,100,6,125,FALSE,FALSE,FALSE
