BG_V	BG_I
0	-3.2698E-11
0.1	-1.866E-11
0.2	-9.044E-12
0.3	-3.42E-13
0.4	5.41E-12
0.5	1.2146E-11
0.6	2.0548E-11
0.7	2.273E-11
0.8	2.6756E-11
0.9	3.1096E-11
1	3.3984E-11
1.1	3.6834E-11
1.2	4.4054E-11
1.3	4.441E-11
1.4	4.9042E-11
1.5	4.9608E-11
1.6	5.3682E-11
1.7	5.7618E-11
1.8	6.3236E-11
1.9	6.8738E-11
2	9.0458E-11
2.1	7.9784E-11
2.2	8.2334E-11
2.3	9.644E-11
2.4	9.518E-11
2.5	9.4146E-11
2.6	9.257E-11
2.7	1.11238E-10
2.8	1.16192E-10
2.9	1.16468E-10
3	1.09416E-10
3.1	1.25032E-10
3.2	1.41744E-10
3.3	1.24856E-10
3.4	1.2796E-10
3.5	1.52026E-10
3.6	1.2885E-10
3.7	1.47184E-10
3.8	1.44114E-10
3.9	1.56848E-10
4	1.51684E-10
4.1	1.54174E-10
4.2	1.37496E-10
4.3	1.49008E-10
4.4	1.52534E-10
4.5	1.93342E-10
4.6	1.8056E-10
4.7	1.73554E-10
4.8	1.77592E-10
4.9	1.8362E-10
5	1.8752E-10
5.1	1.8893E-10
5.2	1.93396E-10
5.3	1.94252E-10
5.4	1.9738E-10
5.5	2.07318E-10
5.6	2.0905E-10
5.7	2.09628E-10
5.8	2.12048E-10
5.9	2.13518E-10
6	2.17154E-10
6.1	2.19056E-10
6.2	2.22692E-10
6.3	2.21342E-10
6.4	2.31806E-10
6.5	2.2827E-10
6.6	2.31558E-10
6.7	2.40562E-10
6.8	2.38262E-10
6.9	2.42232E-10
7	2.43368E-10
7.1	2.49842E-10
7.2	2.53326E-10
7.3	2.64276E-10
7.4	2.59606E-10
7.5	2.65416E-10
7.6	2.64414E-10
7.7	2.66986E-10
7.8	2.72576E-10
7.9	2.73412E-10
8	2.72834E-10
8.1	2.85526E-10
8.2	2.82E-10
8.3	2.87868E-10
8.4	2.86904E-10
8.5	2.92734E-10
8.6	3.04396E-10
8.7	3.00776E-10
8.8	2.99562E-10
8.9	3.07924E-10
9	3.0939E-10
9.1	3.08824E-10
9.2	3.11144E-10
9.3	3.1265E-10
9.4	3.22812E-10
9.5	3.19146E-10
9.6	3.20194E-10
9.7	3.24382E-10
9.8	3.30496E-10
9.9	3.31864E-10
10	3.42992E-10
10.1	3.43288E-10
10.2	3.39938E-10
10.3	3.49194E-10
