run.order,std.order,ultrasound,time,force,gold,chrome,temperature,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10
1,2,210,150,200,40,6,100,100,70,70,25,55,60,87.5,80,75,82.5
2,16,160,250,250,70,10,100,30,65,60,60,62.5,45,67.5,65,60,55
3,36,160,250,200,70,10,50,72.5,90,40,65,70,62.5,72.5,70,65,77.5
4,33,160,150,200,70,2,50,75,72.5,80,80,95,75,70,62.5,60,87.5
5,43,110,200,250,70,6,50,57.5,35,37.5,50,45,55,50,70,60,62.5
6,27,110,200,200,100,2,100,80,65,70,65,70,82.5,80,72.5,85,80
7,12,160,250,250,70,2,100,60,0,10,20,20,25,35,35,30,30
8,35,160,150,200,70,10,50,35,40,37.5,35,40,32.5,30,37.5,35,20
9,42,210,200,150,70,6,50,0,0,20,20,37.5,40,30,25,40,27.5
10,41,110,200,150,70,6,50,0,0,0,20,25,42.5,47.5,25,20,15
11,4,210,250,200,40,6,100,27.5,30,0,30,30,30,25,0,40,50
12,7,110,250,200,100,6,100,50,50,40,47.5,52.5,37.5,40,40,40,40
13,48,210,200,250,70,6,150,40,0,45,40,42.5,50,37.5,30,47.5,52.5
14,38,160,250,200,70,2,150,0,45,30,40,42.5,25,32.5,20,35,30
15,5,110,150,200,100,6,100,30,55,47.5,45,52.5,50,60,57.5,60,42.5
16,45,110,150,150,70,6,150,32.5,52.5,57.5,50,50,60,57.5,42.5,50,52.5
17,39,160,150,200,70,10,150,52.5,27.5,37.5,35,20,27.5,40,15,20,0
18,23,160,200,150,100,6,150,40,37.5,35,40,30,0,52.5,40,50,47.5
19,1,110,150,150,40,6,100,65,50,57.5,50,65,50,40,52.5,52.5,32.5
20,25,110,200,200,40,2,100,65,40,45,45,50,40,50,50,37.5,50
21,46,210,200,150,70,6,150,0,45,45,40,60,45,37.5,25,40,47.5
22,34,160,250,200,70,2,50,40,40,45,35,35,32.5,37.5,47.5,42.5,30
23,21,160,200,150,40,6,150,50,50,42.5,20,40,40,35,40,30,32.5
24,6,210,150,200,100,6,100,,,,,,,,,,
25,18,160,200,250,40,6,50,,,,,,,,,,
26,15,160,150,250,70,10,100,,,,,,,,,,
27,49,160,200,200,70,6,100,,,,,,,,,,
28,31,110,200,200,100,10,100,,,,,,,,,,
29,10,160,250,150,70,2,100,,,,,,,,,,
30,22,160,200,250,40,6,150,,,,,,,,,,
31,17,160,200,150,40,6,50,,,,,,,,,,
32,30,210,200,200,40,10,100,,,,,,,,,,
33,24,160,200,250,100,6,150,,,,,,,,,,
34,9,160,150,150,70,2,100,,,,,,,,,,
35,3,110,250,200,40,6,100,,,,,,,,,,
36,51,160,200,200,70,6,100,,,,,,,,,,
37,8,210,250,200,100,6,100,,,,,,,,,,
38,28,210,200,200,100,2,100,,,,,,,,,,
39,14,160,250,150,70,10,100,,,,,,,,,,
40,32,210,200,200,100,10,100,,,,,,,,,,
41,29,110,200,200,40,10,100,,,,,,,,,,
42,37,160,150,200,70,2,150,,,,,,,,,,
43,13,160,150,150,70,10,100,,,,,,,,,,
44,50,160,200,200,70,6,100,,,,,,,,,,
45,11,160,150,250,70,2,100,,,,,,,,,,
46,40,160,250,200,70,10,150,,,,,,,,,,
47,47,110,200,250,70,6,150,,,,,,,,,,
48,19,160,200,150,100,6,50,,,,,,,,,,
49,44,210,200,250,70,6,50,,,,,,,,,,
50,20,160,200,250,100,6,50,,,,,,,,,,
51,26,210,200,200,40,2,100,,,,,,,,,,
