index,rep,chip,ultrasound,time,force,gold,chrome,temperature,gate_break_visual,gate_break_measurement,gate_break,voltage
1,1,1,230,230,230,100,6,125,,,,
2,1,2,180,280,280,40,2,150,,,,
3,1,2,280,180,180,40,2,150,,,,
4,1,2,180,180,180,160,10,150,,,,
5,1,1,280,180,280,40,10,100,,,,
6,1,2,230,230,230,100,6,125,,,,
7,1,1,280,280,280,160,10,150,,,,
8,1,2,280,280,180,160,2,100,,,,
9,1,1,180,280,180,40,10,100,,,,
10,1,1,180,180,280,160,2,100,,,,
11,1,1,230,230,230,100,6,125,,,,
12,2,1,230,230,230,100,6,125,,,,
13,2,1,180,180,180,160,10,150,,,,
14,2,2,280,180,180,40,2,150,,,,
15,2,2,280,280,180,160,2,100,,,,
16,2,2,180,280,280,40,2,150,,,,
17,2,1,230,230,230,100,6,125,,,,
18,2,1,180,180,280,160,2,100,,,,
19,2,1,280,180,280,40,10,100,,,,
20,2,1,180,280,180,40,10,100,,,,
21,2,2,280,280,280,160,10,150,,,,
22,2,1,230,230,230,100,6,125,,,,
23,3,1,230,230,230,100,6,125,,,,
24,3,2,280,180,280,40,10,100,,,,
25,3,2,180,180,180,160,10,150,,,,
26,3,1,180,280,280,40,2,150,,,,
27,3,1,280,280,180,160,2,100,,,,
28,3,1,230,230,230,100,6,125,,,,
29,3,1,280,180,180,40,2,150,,,,
30,3,2,180,180,280,160,2,100,,,,
31,3,2,180,280,180,40,10,100,,,,
32,3,1,280,280,280,160,10,150,,,,
33,3,2,230,230,230,100,6,125,,,,
34,4,2,230,230,230,100,6,125,,,,
35,4,2,280,280,180,160,2,100,,,,
36,4,1,180,180,180,160,10,150,,,,
37,4,1,180,180,280,160,2,100,,,,
38,4,1,280,180,280,40,10,100,,,,
39,4,2,230,230,230,100,6,125,,,,
40,4,2,180,280,180,40,10,100,,,,
41,4,2,280,280,280,160,10,150,,,,
42,4,1,180,280,280,40,2,150,,,,
43,4,1,280,180,180,40,2,150,,,,
44,4,1,230,230,230,100,6,125,,,,
45,5,2,230,230,230,100,6,125,,,,
46,5,2,280,180,180,40,2,150,,,,
47,5,2,180,180,180,160,10,150,,,,
48,5,2,280,280,180,160,2,100,,,,
49,5,1,180,280,280,40,2,150,,,,
50,5,1,230,230,230,100,6,125,,,,
51,5,1,180,180,280,160,2,100,,,,
52,5,2,280,180,280,40,10,100,,,,
53,5,2,180,280,180,40,10,100,,,,
54,5,1,280,280,280,160,10,150,,,,
55,5,1,230,230,230,100,6,125,,,,
